link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-buunny.html;buunny;0.433333333;0.416666667;0.48;0.551724138;0.578947368;1
http://www.maxmodels.pl/modelka-justyska258.html;justyska258;0.133333333;0.333333333;0.04;0;0.605263158;1
http://www.maxmodels.pl/modelka-wu_du.html;wu_du;0.266666667;0.333333333;0.12;0;0.605263158;0
http://www.maxmodels.pl/modelka-lisia.html;lisia;0.1;0.055555556;0;0.172413793;0.605263158;0
http://www.maxmodels.pl/modelka-aleksa_p.html;Aleksa_P;0.166666667;0.194444444;0.2;0.172413793;0.605263158;1
http://www.maxmodels.pl/modelka-glampaula1.html;glampaula1;0.3;0.388888889;0.2;0.172413793;0.605263158;1
http://www.maxmodels.pl/modelka-slavicgirl.html;slavicgirl;0.166666667;0.25;0.44;0.172413793;0.605263158;1
http://www.maxmodels.pl/modelka-angelikawargocka.html;angelikawargocka;0.133333333;0.166666667;0.04;0.206896552;0.605263158;1
http://www.maxmodels.pl/modelka-sweetsweets.html;Sweetsweets;0.133333333;0.166666667;0.24;0.275862069;0.605263158;1
http://www.maxmodels.pl/modelka-nikabocian.html;NikaBocian;0.1;0.194444444;0.16;0.310344828;0.605263158;1
http://www.maxmodels.pl/modelka-violetatruchan.html;VioletaTruchan;0.3;0.222222222;0.16;0.310344828;0.605263158;1
http://www.maxmodels.pl/modelka-careffuly.html;careffuly;0.6;0.5;0.4;0.517241379;0.605263158;0
http://www.maxmodels.pl/modelka-anndziaa.html;Anndziaa;0.3;0.333333333;0.28;0;0.631578947;0
http://www.maxmodels.pl/modelka-myszka98.html;myszka98;0.066666667;0.333333333;0.08;0.034482759;0.631578947;0
http://www.maxmodels.pl/modelka-cocktailgirl.html;cocktailgirl;0.3;0.277777778;0.08;0.137931034;0.631578947;1
http://www.maxmodels.pl/modelka-keto.html;keto;0.266666667;0.333333333;0.04;0.24137931;0.631578947;0
http://www.maxmodels.pl/modelka-mikoturowska.html;mikoturowska;0.3;0.25;0.4;0.275862069;0.631578947;1
http://www.maxmodels.pl/modelka-as2o.html;AS2o;0.166666667;0.361111111;0.4;0.310344828;0.631578947;0
http://www.maxmodels.pl/modelka-eembrouille.html;eembrouille;0.266666667;0.333333333;0.52;0.413793103;0.631578947;1
http://www.maxmodels.pl/modelka-natala05.html;natala05;0.733333333;0.833333333;0.52;0.517241379;0.631578947;0
http://www.maxmodels.pl/modelka-makamida.html;makamida;0.566666667;0.5;0.76;0.586206897;0.631578947;0
http://www.maxmodels.pl/modelka-nataliaooo.html;Nataliaooo;0.7;0.666666667;0.64;0.655172414;0.631578947;0
http://www.maxmodels.pl/modelka-naomka.html;naomka;0.366666667;0.5;0.2;0;0.657894737;0
http://www.maxmodels.pl/modelka-alexis92.html;Alexis92;0.833333333;0.222222222;0.64;0;0.657894737;0
http://www.maxmodels.pl/modelka-malina28.html;malina28;0.133333333;0.194444444;0;0.068965517;0.657894737;0
http://www.maxmodels.pl/modelka-zebriii.html;Zebriii;0.266666667;0.222222222;0.12;0.068965517;0.657894737;0
http://www.maxmodels.pl/modelka-jabuszkotamy.html;jabuszkotamy;0.133333333;0.305555556;0.08;0.137931034;0.657894737;1
http://www.maxmodels.pl/modelka-tearsinheavenn.html;tearsinheavenn;0.233333333;0.277777778;0.12;0.172413793;0.657894737;1
http://www.maxmodels.pl/modelka-ewella01.html;Ewella01;0.333333333;0.361111111;0.4;0.172413793;0.657894737;0
http://www.maxmodels.pl/modelka-vikidark.html;VikiDark;0.333333333;0.361111111;0.04;0.206896552;0.657894737;1
http://www.maxmodels.pl/modelka-k-l-a-u-d-i-a.html;k-l-a-u-d-i-a;0.433333333;0.5;0.08;0.24137931;0.657894737;0
http://www.maxmodels.pl/modelka-imelda.html;imelda;0.233333333;0.388888889;0.32;0.275862069;0.657894737;1
http://www.maxmodels.pl/modelka-anna_kural.html;anna_kural;0.366666667;0.333333333;0.4;0.275862069;0.657894737;0
http://www.maxmodels.pl/modelka-fatkitty.html;fatkitty;0.366666667;0.25;0.16;0.310344828;0.657894737;0
http://www.maxmodels.pl/modelka-asiablazinska.html;AsiaBlazinska;0.4;0.444444444;0.32;0.310344828;0.657894737;1
http://www.maxmodels.pl/modelka-rocketqueen1.html;rocketqueen1;0.433333333;0.361111111;0.64;0.310344828;0.657894737;1
http://www.maxmodels.pl/modelka-rosso.html;rosso;0.366666667;0.305555556;0.12;0.344827586;0.657894737;1
http://www.maxmodels.pl/modelka-mamiko.html;Mamiko;0.033333333;0.25;0.2;0.344827586;0.657894737;0
http://www.maxmodels.pl/modelka-xmarch19.html;xmarch19;0.5;0.388888889;0.36;0.344827586;0.657894737;1
http://www.maxmodels.pl/modelka-yell_ow.html;Yell_ow;0.166666667;0.277777778;0.4;0.344827586;0.657894737;0
http://www.maxmodels.pl/modelka-justine86.html;Justine86;0.5;0.555555556;0.4;0.344827586;0.657894737;0
http://www.maxmodels.pl/modelka-ginaruu.html;ginaruu;0.433333333;0.416666667;0.36;0.448275862;0.657894737;1
http://www.maxmodels.pl/modelka-madzialenkaczarna.html;MadziaLenkaCzarna;0.5;0.5;0.36;0.448275862;0.657894737;0
http://www.maxmodels.pl/modelka-zofka95.html;Zofka95;0.366666667;0.305555556;0.44;0.448275862;0.657894737;0
http://www.maxmodels.pl/modelka-nadia27.html;Nadia27;0.233333333;0.472222222;0.48;0.448275862;0.657894737;1
http://www.maxmodels.pl/modelka-sniegulina.html;Sniegulina;0.366666667;0.5;0.52;0.448275862;0.657894737;1
http://www.maxmodels.pl/modelka-sylwiashilla.html;SylwiaShilla;0.2;0.25;0.24;0.482758621;0.657894737;0
http://www.maxmodels.pl/modelka-night02.html;night02;0.133333333;0.222222222;0.4;0.517241379;0.657894737;0
http://www.maxmodels.pl/modelka-klaudia1306.html;Klaudia1306;0.466666667;0.583333333;0.4;0.517241379;0.657894737;1
http://www.maxmodels.pl/modelka-patiroma90.html;patiroma90;0.666666667;0.555555556;0.72;0.517241379;0.657894737;1
http://www.maxmodels.pl/modelka-pamela0.html;Pamela0;0.4;0.416666667;0.4;0.586206897;0.657894737;0
http://www.maxmodels.pl/modelka-arwena20.html;Arwena20;0.233333333;0.388888889;0.44;0.586206897;0.657894737;1
http://www.maxmodels.pl/modelka-wika19.html;Wika19;0.666666667;0.5;0;0;0.684210526;0
http://www.maxmodels.pl/modelka-deryaaoneteu.html;deryaaoneteu;0.2;0.277777778;0.4;0.172413793;0.684210526;0
http://www.maxmodels.pl/modelka-magdamatusz.html;magdamatusz;0.266666667;0.388888889;0.32;0.379310345;0.684210526;1
http://www.maxmodels.pl/modelka-usillymoron.html;usillymoron;0.3;0.388888889;0.32;0.448275862;0.684210526;1
http://www.maxmodels.pl/modelka-aniaarellano.html;AniaArellano;0.833333333;0.416666667;0.6;0.724137931;0.684210526;0
http://www.maxmodels.pl/modelka-hotosiemnascie.html;hotosiemnascie;0.166666667;0.5;0.16;0;0.710526316;1
http://www.maxmodels.pl/modelka-doe.html;doe;0.166666667;0.222222222;0.64;0.103448276;0.710526316;1
http://www.maxmodels.pl/modelka-jabluszko.html;jabluszko;0.233333333;0.472222222;0.36;0.379310345;0.710526316;0
http://www.maxmodels.pl/modelka-redmodel.html;Redmodel;0.166666667;0.388888889;0.4;0.379310345;0.710526316;0
http://www.maxmodels.pl/modelka-monaa_w.html;monaa_w;0.566666667;0.5;0.56;0.448275862;0.710526316;0
http://www.maxmodels.pl/modelka-patullka.html;Patullka;0.233333333;0.388888889;0.44;0.482758621;0.710526316;0
http://www.maxmodels.pl/modelka-poolishgirl.html;poolishgirl;0.433333333;0.611111111;0.68;0.517241379;0.710526316;1
http://www.maxmodels.pl/modelka-kalwinia.html;Kalwinia;0.5;0.416666667;0.48;0.586206897;0.710526316;0
http://www.maxmodels.pl/modelka-marta_kos.html;marta_kos;0.933333333;0.888888889;0.32;1;0.710526316;0
http://www.maxmodels.pl/modelka-slodkanajslodszaja1998.html;SlodkaNajslodszaJa1998;0.5;0.388888889;0.12;0;0.736842105;0
http://www.maxmodels.pl/modelka-realna_pozytywka.html;Realna_Pozytywka;0.566666667;0.305555556;0.4;0;0.736842105;0
http://www.maxmodels.pl/modelka-clotheshangerr.html;clotheshangerr;0.066666667;0.166666667;0.24;0.034482759;0.736842105;0
http://www.maxmodels.pl/modelka-azawiszewska.html;azawiszewska;0.033333333;0.194444444;0.12;0.068965517;0.736842105;1
http://www.maxmodels.pl/modelka-blossomchick.html;BlossomChick;0.3;0.361111111;0.4;0.24137931;0.736842105;0
http://www.maxmodels.pl/modelka-ooolga.html;ooolga;0.233333333;0.305555556;0.24;0.275862069;0.736842105;0
http://www.maxmodels.pl/modelka-kamilagy.html;kamilagy;0.4;0.361111111;0.48;0.310344828;0.736842105;0
http://www.maxmodels.pl/modelka-creativechocolate.html;CreativeChocolate;0.333333333;0.472222222;0.04;0.344827586;0.736842105;0
http://www.maxmodels.pl/modelka-maggietarczi.html;maggietarczi;0.366666667;0.333333333;0.2;0.344827586;0.736842105;1
http://www.maxmodels.pl/modelka-chaston.html;Chaston;0.533333333;0.555555556;0.44;0.344827586;0.736842105;0
http://www.maxmodels.pl/modelka-magdajaskolka.html;magdajaskolka;0.066666667;0.388888889;0.28;0.379310345;0.736842105;1
http://www.maxmodels.pl/modelka-trzy-bit20.html;trzy-bit20;0.266666667;0.416666667;0.32;0.448275862;0.736842105;1
http://www.maxmodels.pl/modelka-dea08.html;dea08;0.466666667;0.527777778;0.36;0.448275862;0.736842105;0
http://www.maxmodels.pl/modelka-silver_shine.html;silver_shine;0.6;0.583333333;0.2;0.586206897;0.736842105;1
http://www.maxmodels.pl/modelka-blludera.html;Blludera;0.233333333;0.361111111;0.4;0.620689655;0.736842105;1
http://www.maxmodels.pl/modelka-chetnadosesji.html;Chetnadosesji;0.3;0.305555556;0;0;0.763157895;1
http://www.maxmodels.pl/modelka-gabrielaadriannaorchowska.html;GabrielaAdriannaOrchowska;0.2;0.138888889;0.24;0;0.763157895;0
http://www.maxmodels.pl/modelka-wioletachajecka.html;WioletaChajecka;0.433333333;0.361111111;0.2;0.068965517;0.763157895;1
http://www.maxmodels.pl/modelka-milkyameow.html;milkyameow;0;0.25;0;0.172413793;0.763157895;0
http://www.maxmodels.pl/modelka-crives03.html;crives03;0.3;0.472222222;0.4;0.172413793;0.763157895;1
http://www.maxmodels.pl/modelka-kajaasen.html;kajaasen;0.333333333;0.305555556;0.28;0.24137931;0.763157895;0
http://www.maxmodels.pl/modelka-claudia2895.html;claudia2895;0.366666667;0.361111111;0.4;0.24137931;0.763157895;1
http://www.maxmodels.pl/modelka-ilona_podorska.html;ilona_podorska;0.366666667;0.444444444;0.44;0.24137931;0.763157895;1
http://www.maxmodels.pl/modelka-dernieredanse.html;dernieredanse;0.266666667;0.444444444;0.4;0.310344828;0.763157895;1
http://www.maxmodels.pl/modelka-monika43511.html;monika43511;0.266666667;0.416666667;0.52;0.310344828;0.763157895;1
http://www.maxmodels.pl/modelka-karolatee.html;karolatee;0.033333333;0.527777778;0.56;0.379310345;0.763157895;0
http://www.maxmodels.pl/modelka-margaret11.html;margaret11;0.3;0.444444444;0.4;0.413793103;0.763157895;1
http://www.maxmodels.pl/modelka-cherryandwhisky.html;cherryandwhisky;0.566666667;0.583333333;0.32;0.448275862;0.763157895;0
http://www.maxmodels.pl/modelka-lagertha.html;lagertha;0.166666667;0.333333333;0.36;0.448275862;0.763157895;1
http://www.maxmodels.pl/modelka-gosixa3.html;GosiXa3;0.633333333;0.555555556;0.6;0.448275862;0.763157895;1
http://www.maxmodels.pl/modelka-kingazabielska.html;KingaZabielska;0.333333333;0.361111111;0.56;0.482758621;0.763157895;1
http://www.maxmodels.pl/modelka-natusiaa16.html;natusiaa16;0.633333333;0.666666667;0.28;0.517241379;0.763157895;0
http://www.maxmodels.pl/modelka-mathilde8.html;Mathilde8;0.5;0.527777778;0.4;0.517241379;0.763157895;1
